record_id,source_file,listing_id,monthly_rent_lkr,log_monthly_rent_lkr,property_type,district,location,furnishing_status,source,bedrooms,bathrooms,floor_area_sqft,land_perches,floor_number,car_parking_spaces,deposit_months,advance_months,lease_term_months,posted_year,posted_month,amenity_count,amenity_24_hour_security,amenity_3_phase_electricity,amenity_ac_rooms,amenity_attached_toilets,amenity_backup_generator,amenity_balcony,amenity_bbq_area,amenity_beachfront_sea_view,amenity_brand_new,amenity_business_center,amenity_cable_sat_tv,amenity_cafe_restaurant,amenity_central_ac,amenity_club_house,amenity_fiber_internet,amenity_fire_detection,amenity_fully_furnished,amenity_garage,amenity_garbage_removal,amenity_gated_community,amenity_gym,amenity_home_security_system,amenity_hot_water,amenity_internet,amenity_jogging_track,amenity_kids_play_area,amenity_laundry,amenity_lawn_garden,amenity_lifts,amenity_luxury_specs,amenity_maids_room,amenity_maids_toilet,amenity_on_site_parking,amenity_outdoor_garden,amenity_overhead_water_storage,amenity_pet_friendly,amenity_private_entrance,amenity_private_pool,amenity_roof_top_garden,amenity_separate_kitchen,amenity_serviced_apartment,amenity_sport_facilities,amenity_swimming_pool,amenity_waterfront_riverside,is_short_term,has_description,description_length,feature_anomaly_count
4a9c6012bf4342c6,room_&_annex_rentals_properties.csv,annex-in-dehiwala-for-rent-for-rent-colombo-1,25000,10.12667110305036,Annex,Colombo,Dehiwala,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2023,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,170,0
8f7340e578698c58,room_&_annex_rentals_properties.csv,annex-for-rent-in-gothatuwa-for-rent-colombo-6,30000,10.308985993422082,Annex,Colombo,Angoda,unknown,ikman_category,2,1,0,0,0,0,0,0,0,2022,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168,0
6cb379b9d75cb962,room_&_annex_rentals_properties.csv,room-rent-girl-only-panadura-for-rent-kalutara,9000,9.105090961257085,Portion,Kalutara,Panadura,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,169,0
acda4b9de079a914,room_&_annex_rentals_properties.csv,room-rent-pelawatte-for-girls-for-rent-colombo,9500,9.15915233520675,Portion,Colombo,Battaramulla,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,144,0
85bfa7704a9c5bf4,room_&_annex_rentals_properties.csv,rent-room-near-orion-city-for-rent-colombo,6000,8.699681400989514,Portion,Colombo,Colombo 14,unknown,ikman_category,2,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,131,0
743f4660bf98d944,room_&_annex_rentals_properties.csv,furnished-annex-for-rent-in-golumadama-for-rent-colombo,25000,10.12667110305036,Annex,Colombo,Dehiwala,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
23e101c2d43cbd14,room_&_annex_rentals_properties.csv,room-for-rent-in-kalubovila-for-rent-colombo-1,16000,9.680406499268875,Portion,Colombo,Dehiwala,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,168,0
7da5c427e737ac38,room_&_annex_rentals_properties.csv,room-for-rent-for-rent-colombo-8667,9500,9.15915233520675,Portion,Colombo,Malabe,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,65,0
65f930f83c8ad011,room_&_annex_rentals_properties.csv,house-and-room-rent-for-rent-ratnapura,7500,8.922791623969637,Annex,Ratnapura,Ratnapura City,unknown,ikman_category,6,2,0,0,0,0,0,0,0,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,435,0
19103d4b6b2daad6,room_&_annex_rentals_properties.csv,furnished-room-for-rent-in-kalubovila-for-rent-colombo-1,25000,10.12667110305036,Portion,Colombo,Dehiwala,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0
